"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Aljehane N.O.; Mengash H.A.; Eltahir M.M.; Alotaibi F.A.; Aljameel S.S.; Yafoz A.; Alsini R.; Assiri M.","Aljehane, Nojood O. (57221165542); Mengash, Hanan Abdullah (56201890800); Eltahir, Majdy M. (57224529665); Alotaibi, Faiz Abdullah (57217736578); Aljameel, Sumayh S. (57193404866); Yafoz, Ayman (57216321214); Alsini, Raed (57203914674); Assiri, Mohammed (57219344932)","57221165542; 56201890800; 57224529665; 57217736578; 57193404866; 57216321214; 57203914674; 57219344932","Golden jackal optimization algorithm with deep learning assisted intrusion detection system for network security","2024","Alexandria Engineering Journal","86","","","415","424","76","10.1016/j.aej.2023.11.078","https://www.scopus.com/pages/publications/85178999955?origin=resultslist","Network security is essential to our daily communications and networks. Cybersecurity researchers initiate the significance of emerging proficient network intrusion detection systems (IDS) for providing secure networks. While attackers endure to progress novel kinds of attacks and the network sizes endure to develop, the necessity for effectual IDS becomes significant. Additionally, IDS aims to offer confidentiality, integrity, and availability for the data communicated in networked computers by avoiding illegal access to the network. Several studies executed machine learning (ML) systems for emerging effectual IDS; then, with the advent of deep learning (DL) systems and artificial neural networks (ANNs) that create features automatically without human interference, researchers started to depend on DL approaches. This study introduces a new Golden Jackal Optimization Algorithm with Deep Learning Assisted Intrusion Detection System for Network Security (GJOADL-IDSNS) technique. The major intention of the GJOADL-IDSNS system lies in the effectual recognition and classification of the intrusions, to achieve network security. Primarily, data normalization is performed to scale the input data into a useful format. In the presented GJOADL-IDSNS technique, the GJOA-based feature selection (GJOA-FS) approach can be employed to elect an optimum subset of features. Next, the GJOADL-IDSNS methodology applies the attention-based bi-directional long short-term memory (A-BiLSTM) model. For hyperparameter tuning of the A-BiLSTM model, the GJOADL-IDSNS technique uses the salp swarm algorithm (SSA). The simulation value of the GJOADL-IDSNS technique has been tested utilizing benchmark datasets. The comparative results stated that the GJOADL-IDSNS technique achieves better performance than other models. © 2023 The Authors","Cybersecurity; Deep learning; Intrusion detection system; Metaheuristics; Network security","Computer crime; Cybersecurity; Deep learning; Intrusion detection; Learning algorithms; Learning systems; Neural networks; Optimization; Bi-directional; Cyber security; Deep learning; Intrusion Detection Systems; Memory modeling; Metaheuristic; Network intrusion detection systems; Networks security; Optimization algorithms; Secure networks; Network security","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85178999955"
"Murad N.M.; Dawod A.Y.; Ahmed S.R.; Sekhar R.; Shah P.","Murad, Nada Mohammed (57699844800); Dawod, Adnan Yousif (57217133325); Ahmed, Saadaldeen Rashid (57209730349); Sekhar, Ravi (55792622100); Shah, Pritesh (7403284721)","57699844800; 57217133325; 57209730349; 55792622100; 7403284721","Enhancing Network Security: Leveraging Machine Learning for Integrated Protection and Intrusion Detection","2025","Intelligent Automation and Soft Computing","40","1","","1","27","4","10.32604/iasc.2024.058624","https://www.scopus.com/pages/publications/105012545681?origin=resultslist","This study introduces an innovative hybrid approach that integrates deep learning with blockchain technology to improve cybersecurity, focusing on network intrusion detection systems (NIDS). The main goal is to overcome the shortcomings of conventional intrusion detection techniques by developing a more flexible and robust security architecture. We use seven unique machine learning models to improve detection skills, emphasizing data quality, traceability, and transparency, facilitated by a blockchain layer that safeguards against data modification and ensures auditability. Our technique employs the Synthetic Minority Oversampling Technique (SMOTE) to equilibrate the dataset, therefore mitigating prevalent class imbalance difficulties in intrusion detection. The model selection procedure determined that Random Forest was the most successful model, with a notable detection accuracy of 97%. This substantially surpasses conventional methods and enhances the system’s capacity to identify both established and novel threats with exceptional accuracy. To optimize feature selection and maximize performance, we use Extreme Gradient Boosting (XGBoost), which improves the significance of chosen features while reducing the danger of overfitting. Our study indicates that the integrated use of machine learning for pattern identification, multi-factor authentication (MFA) for access security, and blockchain for data validation constitutes a thorough and sustainable cybersecurity solution. This architecture not only increases security but also lowers the need for regular human monitoring, significantly cutting energy consumption connected with cybersecurity infrastructure. The research finds that this integrated strategy provides a realistic road for increasing network security, addressing real-world cyber threats, and promoting eco-friendly practices in IT security. © 2025 The Authors. Published by Tech Science Press.","extreme gradient boosting (XGBoost); intrusion detection; IT security; machine learning; Network security; synthetic minority oversampling technique (SMOTE)","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105012545681"
"Alabdulatif A.","Alabdulatif, Abdullah (57223210745)","57223210745","A Novel Ensemble of Deep Learning Approach for Cybersecurity Intrusion Detection with Explainable Artificial Intelligence","2025","Applied Sciences (Switzerland)","15","14","7984","","","18","10.3390/app15147984","https://www.scopus.com/pages/publications/105011729032?origin=resultslist","In today’s increasingly interconnected digital world, cyber threats have grown in frequency and sophistication, making intrusion detection systems a critical component of modern cybersecurity frameworks. Traditional IDS methods, often based on static signatures and rule-based systems, are no longer sufficient to detect and respond to complex and evolving attacks. To address these challenges, Artificial Intelligence and machine learning have emerged as powerful tools for enhancing the accuracy, adaptability, and automation of IDS solutions. This study presents a novel, hybrid ensemble learning-based intrusion detection framework that integrates deep learning and traditional ML algorithms with explainable artificial intelligence for real-time cybersecurity applications. The proposed model combines an Artificial Neural Network and Support Vector Machine as base classifiers and employs a Random Forest as a meta-classifier to fuse predictions, improving detection performance. Recursive Feature Elimination is utilized for optimal feature selection, while SHapley Additive exPlanations (SHAP) provide both global and local interpretability of the model’s decisions. The framework is deployed using a Flask-based web interface in the Amazon Elastic Compute Cloud environment, capturing live network traffic and offering sub-second inference with visual alerts. Experimental evaluations using the NSL-KDD dataset demonstrate that the ensemble model outperforms individual classifiers, achieving a high accuracy of 99.40%, along with excellent precision, recall, and F1-score metrics. This research not only enhances detection capabilities but also bridges the trust gap in AI-powered security systems through transparency. The solution shows strong potential for application in critical domains such as finance, healthcare, industrial IoT, and government networks, where real-time and interpretable threat detection is vital. © 2025 by the author.","cybersecurity; deep learning; explainable artificial intelligence; intrusion detection; machine learning; network security; privacy; security","Computer crime; Cybersecurity; Data privacy; Learning algorithms; Learning systems; Network security; Neural networks; Security systems; Support vector machines; Cyber security; Deep learning; Explainable artificial intelligence; Intrusion-Detection; Learning approach; Machine-learning; Networks security; Privacy; Real- time; Security; Deep learning; Intrusion detection","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105011729032"
"Akuthota U.C.; Bhargava L.","Akuthota, Uday Chandra (58103371700); Bhargava, Lava (14423942100)","58103371700; 14423942100","The role of machine and deep learning in modern intrusion detection systems: A comprehensive review","2025","Computers and Electrical Engineering","124","","110318","","","9","10.1016/j.compeleceng.2025.110318","https://www.scopus.com/pages/publications/105002749993?origin=resultslist","Network intrusion benchmark datasets serve an essential role in improving the advancement of research in cybersecurity because they provide standardized resources for assessing the effectiveness of intrusion detection systems and associated cybersecurity solutions. This review article provides a detailed examination of the cutting-edge in network intrusion benchmark datasets, concentrating on their features, content, utilization, and implications for cybersecurity research. We systematically review a wide variety of benchmark datasets that are often utilized in the industry, which include the DARPA, KDDcup99, NSL-KDD, Kyoto, UNSW-NB15, and CICIDS-17 datasets. We analyzed each dataset, including its performance based on machine learning and deep learning models, by critically synthesizing existing literature. Additionally, we discussed the common challenges existing in intrusion detection systems. Furthermore, we provided a description of various machine learning and deep learning algorithms used for intrusion detection applications. This study aims to assist researchers in choosing suitable datasets and techniques for evaluating and benchmarking intrusion detection systems, ultimately advancing cybersecurity research and the development of reliable and efficient cybersecurity solutions. © 2025 Elsevier Ltd","Benchmark datasets; Intrusion detection; Machine and deep learning models; Network attacks","Federated learning; Network intrusion; Benchmark datasets; Cutting edges; Cyber security; Intrusion Detection Systems; Intrusion-Detection; Learning models; Machine and deep learning model; Machine-learning; Network attack; Network intrusions; Adversarial machine learning","Article","Final","","Scopus","2-s2.0-105002749993"
"Al-Quayed F.; Ahmad Z.; Humayun M.","Al-Quayed, Fatima (56487884000); Ahmad, Zulfiqar (57213608630); Humayun, Mamoona (56580449600)","56487884000; 57213608630; 56580449600","A Situation Based Predictive Approach for Cybersecurity Intrusion Detection and Prevention Using Machine Learning and Deep Learning Algorithms in Wireless Sensor Networks of Industry 4.0","2024","IEEE Access","12","","","34800","34819","97","10.1109/ACCESS.2024.3372187","https://www.scopus.com/pages/publications/85186980371?origin=resultslist","Industry 4.0 is fundamentally based on networked systems. Real-time communication between machines, sensors, devices, and people makes it easier to transmit the data needed to make decisions. Informed decision-making is empowered by the comprehensive insights and analytics made possible by this connectedness in conjunction with information transparency. Industry 4.0-based wireless sensor networks (WSNs) are an integral part of modern industrial operations however, these networks face escalating cybersecurity threats. These networks are always vulnerable to cyber-attacks as they continuously collect data and optimize processes. Increased connections make people more susceptible to cyberattacks, necessitating the use of strong cybersecurity measures to protect sensitive data. This study proposes a predictive framework intended to intelligently prioritize and prevent cybersecurity intrusions on WSNs in Industry 4.0. The proposed framework enhances the cybersecurity of WSNs in Industry 4.0 using a multi-criteria approach. It implements machine-learning and deep-learning algorithms for cybersecurity intrusion detection in WSNs of Industry 4.0 and provides prevention by assigning priorities to the threats based on the situation and nature of the attacks. We implemented three models, i.e., Decision Tree, MLP, and Autoencoder, as proposed algorithms in the framework. For multidimensional classification and detection of cybersecurity intrusions, we implemented Decision Tree and MLP models. For binary classification and detection of cybersecurity intrusions in WSNs of Industry 4.0, we implemented Autoencoder model. Simulation results show that the Decision Tree model provides an accuracy of 99.48%, precision of 99.49%, recall of 99.48%, and F1 score of 99.49% in the detection and classification of cybersecurity intrusions. The MLP model provides an accuracy of 99.52%, precision of 99.5%, recall of 99.5%, and F1 score of 99.5% in the detection and classification of cybersecurity intrusions. The implementation of Autoencoder with binary classification yields an accuracy of 91%, a precision of 92%, a recall of 91%, and an F1 score of 91%. The benchmark models, i.e., Random Forest (RF) for multidimensional classification and Logistic Regression (LR) for binary classification, have also been implemented. We compared the performance of the benchmark models with the models implemented in the proposed framework, revealing that the models in the proposed framework  © 2013 IEEE.","Cybersecurity; detection; intrusions; machine learning and deep learning; prediction; WSN","Behavioral research; Computer crime; Cryptography; Cyber Physical System; Data mining; Decision trees; Deep learning; Industry 4.0; Internet of things; Intrusion detection; Learning algorithms; Learning systems; Network security; Sensitive data; Wireless sensor networks; Cyber security; Cyber-attacks; Detection; Fourth industrial revolution; Industrial revolutions; Intrusion; Intrusion-Detection; Machine learning and deep learning; Machine-learning; Wireless communications; Cybersecurity","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85186980371"
"Haider A.; Khan M.A.; Rehman A.; Ur Rahman M.; Kim H.S.","Haider, Amir (57200661550); Khan, Muhammad Adnan (57226797214); Rehman, Abdur (57216196362); Ur Rahman, Muhib (57213817856); Kim, Hyung Seok (24724529100)","57200661550; 57226797214; 57216196362; 57213817856; 24724529100","A real-time sequential deep extreme learning machine cybersecurity intrusion detection system","2020","Computers, Materials and Continua","66","2","","1785","1798","46","10.32604/cmc.2020.013910","https://www.scopus.com/pages/publications/85097166827?origin=resultslist","In recent years, cybersecurity has attracted significant interest due to the rapid growth of the Internet of Things (IoT) and the widespread development of computer infrastructure and systems. It is thus becoming particularly necessary to identify cyber-attacks or irregularities in the system and develop an efficient intrusion detection framework that is integral to security. Researchers have worked on developing intrusion detection models that depend on machine learning (ML) methods to address these security problems. An intelligent intrusion detection device powered by data can exploit artificial intelligence (AI), and especially ML, techniques. Accordingly, we propose in this article an intrusion detection model based on a Real-Time Sequential Deep Extreme Learning Machine Cybersecurity Intrusion Detection System (RTS-DELM-CSIDS) security model. The proposed model initially determines the rating of security aspects contributing to their significance and then develops a comprehensive intrusion detection framework focused on the essential characteristics. Furthermore, we investigated the feasibility of our proposed RTS-DELM-CSIDS framework by performing dataset evaluations and calculating accuracy parameters to validate. The experimental findings demonstrate that the RTS-DELM-CSIDS framework outperforms conventional algorithms. Furthermore, the proposed approach has not only research significance but also practical significance. © 2021 Tech Science Press. All rights reserved.","DELM; Intrusion detection system; Machine learning; Security","Computer crime; Deep learning; Internet of things; Intrusion detection; Knowledge acquisition; Network security; Computer infrastructure; Conventional algorithms; Essential characteristic; Extreme learning machine; Internet of thing (IOT); Intrusion detection models; Intrusion Detection Systems; Research significances; Learning systems","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85097166827"
"Bouzaachane K.; Guarmah E.M.E.; Alnajim A.M.; Khan S.","Bouzaachane, Khadija (57192922907); Guarmah, El Mahdi El (23003967900); Alnajim, Abdullah M. (57289724900); Khan, Sheroz (7404043105)","57192922907; 23003967900; 57289724900; 7404043105","Addressing Modern Cybersecurity Challenges: A Hybrid Machine Learning and Deep Learning Approach for Network Intrusion Detection","2025","Computers, Materials and Continua","84","2","","2391","2410","2","10.32604/cmc.2025.065031","https://www.scopus.com/pages/publications/105011044132?origin=resultslist","The rapid increase in the number of Internet of Things (IoT) devices, coupled with a rise in sophisticated cyberattacks, demands robust intrusion detection systems. This study presents a holistic, intelligent intrusion detection system. It uses a combined method that integrates machine learning (ML) and deep learning (DL) techniques to improve the protection of contemporary information technology (IT) systems. Unlike traditional signature-based or single-model methods, this system integrates the strengths of ensemble learning for binary classification and deep learning for multi-class classification. This combination provides a more nuanced and adaptable defense. The research utilizes the NF-UQ-NIDS-v2 dataset, a recent, comprehensive benchmark for evaluating network intrusion detection systems (NIDS). Our methodological framework employs advanced artificial intelligence techniques. Specifically, we use ensemble learning algorithms (Random Forest, Gradient Boosting, AdaBoost, and XGBoost) for binary classification. Deep learning architectures are also employed to address the complexities of multi-class classification, allowing for fine-grained identification of intrusion types. To mitigate class imbalance, a common problem in multi-class intrusion detection that biases model performance, we use oversampling and data augmentation. These techniques ensure equitable class representation. The results demonstrate the efficacy of the proposed hybrid ML-DL system. It achieves significant improvements in intrusion detection accuracy and reliability. This research contributes substantively to cybersecurity by providing a more robust and adaptable intrusion detection solution. Copyright © 2025 The Authors.","decision tree; deep learning; ensemble learning; K-means; Network intrusion detection systems (NIDS); NF-UQ-NIDS-v2 dataset; smote","Adaptive boosting; Classification (of information); Classifiers; Computer crime; Copyrights; Cybersecurity; Deep learning; Internet of things; Intrusion detection; Learning systems; Network intrusion; Network security; Random forests; Cyber security; Deep learning; Ensemble learning; Intrusion-Detection; K-means; Network intrusion detection system; Network intrusion detection systems; NF-UQ-network intrusion detection system-v2 dataset; Smote; Decision trees","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105011044132"
"Hozouri A.; Mirzaei A.; Effatparvar M.","Hozouri, Ali (58621536900); Mirzaei, Abbas (57746463800); Effatparvar, Mehdi (19640033900)","58621536900; 57746463800; 19640033900","A comprehensive survey on intrusion detection systems with advances in machine learning, deep learning and emerging cybersecurity challenges","2025","Discover Artificial Intelligence","5","1","314","","","33","10.1007/s44163-025-00578-1","https://www.scopus.com/pages/publications/105021007392?origin=resultslist","Recent advancements in technology, particularly in artificial intelligence (AI) and machine learning (ML), have significantly enhanced connectivity and efficiency in various domains. However, these developments have also led to increased threats and concerns regarding cyberattacks which have significantly challenged governments, businesses, and societies. An Intrusion Detection System (IDS) is a critical component of a cybersecurity architecture that is designed to monitor and analyze network traffic for signs of malicious activity and plays an essential role in detecting and responding to security threats. The increasing complexity of security attacks has led researchers to use machine learning (ML) and deep learning (DL) methods to enhance IDS performance. These cutting-edge systems are designed to detect emerging cyberthreats. The current study investigates and compares various types of IDS and AI-based techniques that use ML and DL algorithms to protect data against malicious threats. It also provides an overview of the architecture and operation of IDS and examines popular datasets such as CIC-IDS2017, KDDCup99 and UNSW-NB15 used to evaluate IDS models. These datasets offer a diverse range of attack scenarios and normal traffic and help create a more reliable and effective IDS which improves the overall network security. The study concludes by emphasizing constant progress in IDS technologies to combat evolving cyberthreats and enhance network security. © The Author(s) 2025.","A-IDS; Deep learning; HIDS; IDS architecture; Intrusion detection system; Machine learning; NIDS; S-IDS","Architecture; Computer architecture; Computer crime; Cybersecurity; Intrusion detection; Learning systems; Network architecture; Network intrusion; Network security; Security systems; A-intrusion detection system; Deep learning; HIDS; Intrusion detection system architectures; Intrusion Detection Systems; Machine-learning; NIDS; S-intrusion detection system; Deep learning","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105021007392"
"Duan K.","Duan, Kun (59965310200)","59965310200","Enhancing cybersecurity: network intrusion detection with hybrid machine learning and deep learning approaches","2025","International Journal of Information and Communication Technology","26","22","","106","124","2","10.1504/IJICT.2025.146911","https://www.scopus.com/pages/publications/105009223390?origin=resultslist","This study introduces an advanced network intrusion detection system (NIDS) to protect Wi-Fi-based wireless sensor networks (WSNs) using the Aegean Wi-Fi intrusion dataset (AWID). The dataset, which contains multiple classes of attacks, including flooding, injection, and impersonation, is used to train and evaluate the proposed model. The approach employs a robust feature selection process to optimise dataset quality, starting with 130 features, which are narrowed down to 90 relevant ones and further refined to 13 key features critical for detecting security breaches. The data is pre-processed using the standard scaler function, followed by the implementation of a hybrid convolutional neural network (CNN)-based model. The model’s performance is compared with other deep learning methods, including deep neural networks (DNN-5, DNN-3) and long-short-term memory (LSTM) networks, using evaluation metrics such as precision, recall, and F1-score. Our CNN model achieves an impressive accuracy of 98% and a low loss of 0.08, with minimal false alarm rates. This research significantly enhances intrusion detection accuracy while reducing false alarms, strengthening the cybersecurity posture of Wi-Fi-supported WSNs in the face of evolving cyber threats. Copyright © 2025 Inderscience Enterprises Ltd.","CNN; convolutional neural network; cyber security; deep learning; intrusion detection; machine learning; network security","Alarm systems; Computer crime; Convolution; Convolutional neural networks; Cybersecurity; Deep neural networks; Learning systems; Long short-term memory; Network intrusion; Network security; Wi-Fi; Wireless local area networks (WLAN); Convolutional neural network; Cyber security; Deep learning; Intrusion-Detection; Machine-learning; Networks security; Sensors network; WI - FI; Wireless sensor; Intrusion detection","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105009223390"
"Khan I.; Khan J.; Bangash S.H.; Ahmad W.; Iftikhar M.A.; Hameed K.","Khan, Irfanullah (57212621625); Khan, Junaid (60139599000); Bangash, Shah Hussain (59256188300); Ahmad, Waqas (59184292700); Iftikhar, Muhammad Asad (60139834900); Hameed, Khalid (60139599100)","57212621625; 60139599000; 59256188300; 59184292700; 60139834900; 60139599100","Intrusion Detection Using Machine Learning and Deep Learning Models on Cyber Security Attacks","2024","VFAST Transactions on Software Engineering","12","2","","95","113","6","10.21015/vtse.v12i1.1817","https://www.scopus.com/pages/publications/105018688955?origin=resultslist","To detect and stop harmful activity in computer networks, network intrusion detection is an essential part of cybersecurity defensive systems. It is becoming more difficult for traditional rule-based techniques to identify new attack vectors in the face of the increasing complexity and diversity of cyber threats. Machine learning (ML) and deep learning (DL) models can analyze vast amounts of network traffic data and automatically identify patterns and anomalies, there has been a surge in interest in using these models for network intrusion detection. This paper examines the approaches, algorithms, and realworld applications of machine learning and deep learning techniques for network intrusion detection in order to present a thorough review of the state-of-the-art in countering cyber threats. We assess ML and DL-based intrusion detection systems’ effectiveness, strengths, and weaknesses in a range of attack scenarios and network environments by synthesizing current literature and empirical research. Additionally, we talk about new developments, obstacles, and paths forward in the areas of transfer learning, adversarial robustness, and ensemble learning. The understanding gained from this investigation clarifies the potential of ML and DL models in strengthening defenses against changing cyber threats, reducing risks, and protecting vital assets. In deep learning autoencode accuracy 68% less than other models. The performance of the CNN and LSTM algorithm is impressive and outperformed with 100% accuracy on cyber security attacks datasets. Machine learning algorithm accuracy rate of SVM and KNN 100% while logistic regression accuracy is 99% GNB accuracy 80% with training data of the models. The overall models perforamance deep learning increadible accuracy with 100% on the training and testing data. © 2024, VFAST Publisher. All rights reserved.","Countermeasures Cyber Attacks; Cyber Security Attacks; Deep Learning Algorithms; Machine Learning Algorithms; Network Intrusion Detection","","Article","Final","","Scopus","2-s2.0-105018688955"
